project_code,original_cost_cr,revised_cost_cr,expenditure_cr,cost_overrun_cr,cost_overrun_pct,delay_days,schedule_change_days,expenditure_change_cr_paimana,revision_cost_change_cr,original_cost,revised_cost,cumulative_expenditure,physical_progress_pct,expenditure_change_cr_flash,progress_change_pct,revised_cost_change_cr,previous_expenditure_cr,previous_progress_pct,flash_history_count,future_delay_flag,snapshot_year,snapshot_month_num,original_end_year,original_end_month,revised_end_year,revised_end_month,sector_freq,ministry_freq,state_freq,implementing_agency_freq
400019,493.0,1170.83,276.86,677.8299999999999,137.49087221095334,273.0,273.0,20.58000000000004,0.0,492.76,1170.83,276.86,16.0,20.58000000000004,0.0,0.0,256.28,16.0,4.0,0,2025.0,10.0,2026.0,12.0,2027.0,9.0,0.2149145520455722,0.2133609528741584,0.0919212843086483,0.0045313309166235
400019,493.0,1170.83,288.08,677.8299999999999,137.49087221095334,273.0,273.0,11.21999999999997,0.0,492.76,1170.83,288.08,17.0,11.21999999999997,1.0,0.0,276.86,16.0,5.0,0,2025.0,11.0,2026.0,12.0,2027.0,9.0,0.2149145520455722,0.2133609528741584,0.0919212843086483,0.0045313309166235
400019,493.0,1170.83,415.47,677.8299999999999,137.49087221095334,273.0,273.0,127.39000000000004,0.0,492.76,1170.83,415.47,25.0,127.39000000000004,8.0,0.0,288.08,17.0,6.0,0,2025.0,12.0,2026.0,12.0,2027.0,9.0,0.2149145520455722,0.2133609528741584,0.0919212843086483,0.0045313309166235
400019,493.0,1170.83,440.73,677.8299999999999,137.49087221095334,273.0,273.0,25.25999999999999,0.0,492.76,1170.83,440.73,25.0,25.25999999999999,0.0,0.0,415.47,25.0,7.0,0,2026.0,1.0,2026.0,12.0,2027.0,9.0,0.2149145520455722,0.2133609528741584,0.0919212843086483,0.0045313309166235
400019,493.0,1170.83,476.12,677.8299999999999,137.49087221095334,273.0,273.0,35.389999999999986,0.0,492.76,1170.83,476.12,25.0,35.389999999999986,0.0,0.0,440.73,25.0,8.0,0,2026.0,2.0,2026.0,12.0,2027.0,9.0,0.2149145520455722,0.2133609528741584,0.0919212843086483,0.0045313309166235
400019,493.0,1170.83,480.92,677.8299999999999,137.49087221095334,273.0,273.0,4.800000000000011,0.0,492.76,1170.83,480.92,25.0,4.800000000000011,0.0,0.0,476.12,25.0,9.0,0,2026.0,3.0,2026.0,12.0,2027.0,9.0,0.2149145520455722,0.2133609528741584,0.0919212843086483,0.0045313309166235
400022,2798.0,2798.0,1891.9,0.0,0.0,0.0,0.0,1.5600000000000025,0.0,2798.0,2798.0,1891.9,14.0,1.75,0.3499999999999943,0.0,381.695,73.0,1.0,0,2025.0,7.0,2030.0,7.0,2030.0,7.0,0.2149145520455722,0.2133609528741584,0.0011651993785603,0.0073795960642154
400022,2798.0,2798.0,1915.38,0.0,0.0,0.0,0.0,23.48000000000001,0.0,2798.0,2798.0,1915.38,15.0,23.48000000000001,1.0,0.0,1891.9,14.0,2.0,0,2025.0,8.0,2030.0,7.0,2030.0,7.0,0.2149145520455722,0.2133609528741584,0.0011651993785603,0.0073795960642154
400022,2798.0,2798.0,1931.66,0.0,0.0,0.0,0.0,16.279999999999973,0.0,2798.0,2798.0,1931.66,16.0,16.279999999999973,1.0,0.0,1915.38,15.0,3.0,0,2025.0,9.0,2030.0,7.0,2030.0,7.0,0.2149145520455722,0.2133609528741584,0.0011651993785603,0.0073795960642154
400022,2798.0,2798.0,2014.6,0.0,0.0,0.0,0.0,82.93999999999983,0.0,2798.0,2798.0,2014.6,17.0,82.93999999999983,1.0,0.0,1931.66,16.0,4.0,0,2025.0,10.0,2030.0,7.0,2030.0,7.0,0.2149145520455722,0.2133609528741584,0.0011651993785603,0.0073795960642154
